,query_idx,query_original,fused_ranking
0,1164180,what counties does health bridge cover,"{'172362': 954.4050067749785, '172358': 910.9285538474834, '172364': 905.2120128439441, '172367': 901.4940102993553, '172366': 555.8092522275315, '2173888': 60.83205155792671, '428250': 12.47169984272017, '3730567': 11.778102810216028, '2173893': 10.124012441464467, '961074': 7.091172004134822, '5055630': 6.67663572739864, '3163390': 6.232117465562631, '4175409': 4.6317839752599035, '2173887': 3.847624127637188, '3163389': 3.415209447991428, '5383218': 2.5003132318395576, '1406119': 1.8781296331750457, '4703543': 1.7903273702062903, '4175403': 1.4050863922382797, '4703547': 1.2921725071547598, '428244': 0.8640188312664799, '16521': 0.7973043658444319, '3163396': 0.7431356251324441, '3730565': 0.47540522736860424, '881362': 0.36789200155214175, '288134': 0.22535466790046657, '334574': 0.19053158653418192, '881363': 0.1712844868963583, '3309550': 0.11626160186100937, '4175404': 0.11513332549170516, '1301088': 0.10944374189439515, '4175406': 0.09940782161928927, '3309554': 0.09637879999675633, '6610801': 0.08600736518165059, '428249': 0.08522065114891751, '4703539': 0.0394934963289172, '6368194': 0.035360144096500686, '428246': 0.03434092273850482, '2629976': 0.03163287889835156, '3302770': 0.026633922768675204, '3730562': 0.025474763359304736, '1406122': 0.025257777416997296, '3730566': 0.022360551582990797, '1406125': 0.015311664414577894, '3309551': 0.009843060656361228, '554476': 0.008977076410957206, '3302763': 0.007679868203181371, '4811567': 0.007651233655298692, '3008370': 0.0027276726848204425, '5135405': 0.0018377189189672913, '2044460': 0.0007758533796860918, '2173889': 0.0, '6800104': 0.0, '2146624': 0.0, '1880121': 0.0, '3730558': 0.0, '3309549': 0.0, '1282689': 0.0, '1008954': 0.0}"
1,1173673,meaning of each types of topology network,"{'207687': 4.0, '207689': 3.2427244223149403, '207685': 2.508254960111879, '207688': 2.491480977899161, '207684': 1.7912403777257813, '2859093': 0.014562580939457632, '1601553': 0.013891700633046412, '2136580': 0.01306639229377435, '2136579': 0.006251322140623472, '2136583': 0.0036441503186355265, '998485': 0.0014472026762758867, '334574': 0.0008643279333915589, '172367': 0.0}"
2,151080,different types of welding machine,"{'222578': 828.4947983322043, '222570': 620.8340992872821, '222571': 619.0296784021954, '222572': 587.9595292580191, '222577': 578.1125315189529, '222579': 489.33164205207333, '4064443': 4.24821646480927, '4562792': 1.2549219059865557, '4963388': 1.162493883079143, '961738': 1.0697720787286162, '7045573': 0.6158231028489644, '4298027': 0.4606078598524703, '6827588': 0.12468481736674294, '903582': 0.03393891504283742, '903579': 0.01457479671292279, '4963391': 0.0}"
3,457882,most famous destinations in the world,"{'232436': 8131.711528008649, '232429': 5813.675266865372, '232431': 5645.608034132169, '232435': 4553.309561472677, '232432': 3390.716813725813, '3730561': 254.329467069907, '2016862': 76.0915404602698, '2016864': 30.92800028841882, '3730567': 29.109749089403977, '3730566': 14.848248823652765, '1406125': 12.729900931733793, '881363': 8.81750734692785, '1513881': 8.727589671299892, '2016860': 7.636465000056013, '2016861': 7.148124597064179, '2016868': 5.164126187740096, '172366': 3.683496238938074, '1406122': 2.8403365249427655, '1513888': 2.0461695428106137, '4175403': 2.046021968969495, '3730562': 2.0276658301048722, '4175404': 1.47630673710243, '3163389': 1.3292829405681428, '1406117': 1.235201227314221, '2296824': 1.1852057460920378, '881360': 0.9894795885457857, '1513883': 0.8938957140893535, '3163390': 0.7889359671616574, '1406119': 0.6654833858058486, '1578313': 0.5660867932561222, '881362': 0.4086620335648514, '796282': 0.3880013683071374, '1578306': 0.2900133272911195, '55269': 0.20630479824056983, '3730558': 0.1558395583694357, '881364': 0.14955438623219589, '4703539': 0.1464594168124604, '1578307': 0.052701363683646064, '4828354': 0.03531106019437582, '4828350': 0.034865238526488415, '3730565': 0.02776442927926858, '4703547': 0.021741864673120778, '1406120': 0.01918877809590556, '4828348': 0.016940589179376818, '796284': 0.01500982517474839, '1513887': 0.014535342853832064, '6368191': 0.010645193976755986, '4175406': 0.0, '1578304': 0.0, '6936670': 0.0, '3335177': 0.0, '2442913': 0.0}"
4,459880,mouth and gum pain causes,"{'238023': 278.4571842787412, '238027': 277.4629182012926, '238030': 259.95938622919397, '238024': 258.719974266678, '238025': 232.94063027125156, '5177380': 18.39882293439487, '5177381': 10.798370913530347, '3093874': 9.364641714976656, '1517075': 9.118897681259106, '3093877': 8.000336613612216, '5177386': 6.988598648522842, '5643906': 5.50120912076395, '1522203': 4.599720535395128, '245532': 3.6141411641462975, '5643903': 2.690717744604871, '2043840': 1.0626980514784592, '1198278': 0.781071846749309, '1517073': 0.6624700788508022, '4181978': 0.6424239052237632, '3093882': 0.5330549297201175, '5643905': 0.28016837403658845, '1517071': 0.2513510666574408, '1517077': 0.22263283706621712, '1517074': 0.1807344477870464, '40243': 0.11526102836716136, '1961385': 0.09299885717771862, '4181976': 0.0619619335305846, '722035': 0.054147767850882614, '263121': 0.04259023099488209, '555228': 0.04214617831267609, '555229': 0.029840621377120763, '239291': 0.025004574611401435, '357161': 0.024234711984558094, '283486': 0.023413658022862854, '163907': 0.022198328516771535, '357160': 0.020530588447647984, '357159': 0.02037342511999682, '3168707': 0.019556397871677223, '5177382': 0.018487740367090274, '722036': 0.01803427778740217, '5653104': 0.016746143616413064, '251899': 0.016327016753529384, '357162': 0.013841827013729989, '3093878': 0.012443417230260066, '786636': 0.012062490217392318, '4181972': 0.009719894025261048, '2831262': 0.007238044830691012, '6651785': 0.00324194997317206, '3917762': 0.0, '17276': 0.0, '263126': 0.0, '1086506': 0.0, '6323380': 0.0, '6779132': 0.0}"
5,582382,what can syphilis cause,"{'251899': 13.321862384071395, '251895': 12.535217290646283, '251892': 8.151507196642212, '251893': 7.7071401353151465, '976905': 4.3728261602309555, '251897': 3.387253495027751, '976900': 3.1342329700979046, '5720196': 2.678668448682044, '3034354': 1.4734878343368392, '2210795': 1.4600944720143012, '1198278': 1.4306039309570666, '3034359': 1.32330416764517, '3917762': 1.2432136861370258, '4181970': 1.1711348644424582, '976908': 1.016108338620327, '5720189': 0.9309432893144328, '4365158': 0.9203796064655559, '1198283': 0.9141945990279603, '120533': 0.9018534097294484, '5712807': 0.8606095319755104, '3996750': 0.8167352702111693, '1198276': 0.6603895847198749, '1198275': 0.6383165849304792, '5720191': 0.628383999077897, '346538': 0.6142664740405656, '976907': 0.49677321556418297, '1198279': 0.49362929967349944, '976901': 0.4621198103405385, '3431736': 0.45424446948435127, '676543': 0.42405645798018865, '5720192': 0.41628616614694736, '470228': 0.4067751871964645, '3034360': 0.3226313270736477, '6651785': 0.2514105547110172, '6651787': 0.23808687110871146, '6822427': 0.23177685219414534, '4181978': 0.22448396600346285, '676540': 0.22357998123872297, '4365155': 0.19766236094856265, '245534': 0.18261256760801625, '8238447': 0.1667970797054515, '239291': 0.15113595754537346, '3232607': 0.1374341032277625, '3034358': 0.11593218901189913, '676537': 0.1104130848402215, '1538223': 0.09743638548840092, '6651783': 0.09382555250497993, '369809': 0.0871498308224909, '3034353': 0.08476679349937603, '2210789': 0.0788681498868811, '676546': 0.07750248541738175, '1390733': 0.07486979737991627, '6651784': 0.05963339155757083, '1390739': 0.05870324496445469, '369813': 0.040320249183753286, '5643905': 0.0395780469882389, '8238453': 0.03853112098796991, '3232610': 0.030871385355227415, '1517071': 0.02697800511621353, '6822422': 0.02690623922092806, '369811': 0.02648243283371278, '3232611': 0.02297056360923521, '2210794': 0.02266631904045481, '4394699': 0.021840435014063336, '5643903': 0.019405549762689513, '6822419': 0.013821664757322289, '343317': 0.010135520985195398, '676539': 0.007743736608300738, '6822420': 0.005133181952309701, '1538227': 0.0032909462131791543, '2601672': 0.0018720454910301431, '3093882': 0.00042546207548199944}"
6,661280,what foods causes kidney stones,"{'263119': 2343.5840437072925, '263128': 1599.8956015035299, '263126': 1214.3651153939747, '263121': 1035.2802796012907, '263120': 787.861757556691, '245532': 10.140075482445239, '162759': 9.084994221367532, '976905': 6.885345439395085, '4117262': 2.7269842761835936, '3093879': 1.7207379475695415, '416665': 1.3716146267827964, '6651784': 0.6534989100828672, '3093882': 0.27165512861837054, '1198278': 0.25507207079543326, '2019364': 0.196892749121431, '3093874': 0.18117741490438727, '839784': 0.1491066056093565, '976908': 0.141467752174604, '976907': 0.12608057740145054, '5712807': 0.07018720181372072, '1198283': 0.0675962512567268, '416664': 0.05756425793815893, '5831020': 0.05718062920275061, '3494287': 0.05449773126765109, '6651782': 0.041425209498154786, '922442': 0.020354202786163428, '3093877': 0.007250202012986193, '4117263': 0.006711157612722794, '3494288': 0.00553786101991489, '3917762': 0.0008187064303960604, '4394699': 0.0, '6323384': 0.0, '4181978': 0.0, '2210789': 0.0}"
7,436379,largest economies of world,"{'266748': 6489.968393725418, '266741': 6104.223593256472, '266747': 4983.581666304437, '266746': 4442.493056661364, '266749': 3809.452825845306, '2859089': 40.920906158107044, '5783177': 28.01551410061792, '55269': 7.4403528252925994, '2136583': 4.4341791594436835, '686275': 3.3455230118378925, '5383215': 2.417389050472244, '4298027': 2.1816883171387267, '496888': 1.4258050342595143, '2892104': 1.12123352310031, '1880126': 0.69911509042406, '4963393': 0.6209141139627459, '2136579': 0.5478611501107066, '5612804': 0.39741952677352765, '3163389': 0.2534120717981623, '4562795': 0.24206957406929014, '2136580': 0.1169051986967794, '1853577': 0.08216540399728195, '5612800': 0.06004409657799292, '7924175': 0.05427952496817355, '4175406': 0.04482630569668726, '4298031': 0.043672075584106976, '3163390': 0.0391468929635376, '3467975': 0.019074775325644205, '2442913': 0.018992789066713932, '3163395': 0.008967315373269976, '406466': 0.0075597951711792, '5612806': 0.0071378364674275566, '16521': 0.0022402596140779743, '207685': 0.00029352749139052384, '4562792': 0.0, '686269': 0.0, '1808637': 0.0, '2442911': 0.0, '5612807': 0.0, '1601553': 0.0}"
8,149642,differences in types of honey,"{'317174': 4481.864711680892, '317176': 2713.706539817405, '317177': 2121.858159616414, '317179': 2031.2286369829446, '317175': 1418.7873257824638, '6036172': 2.1841390660483424, '2096605': 0.6496452729106745, '3316294': 0.5620104871354732, '2998249': 0.4391871969255469, '4950842': 0.41717610026901386, '3316295': 0.3973282544906332, '2096608': 0.19474067925979371, '2096600': 0.08296536742472227, '2706980': 0.05199735294384779, '2096604': 0.04540257906056094, '2998251': 0.041012513638370725, '4950836': 0.035382378532773116, '2998248': 0.02993277482306475, '2998244': 0.026302960831378328, '6036173': 0.017362786248700843, '2250888': 0.016993246974489312, '2998247': 0.015974170351727057, '4950840': 0.01098267439195454, '2153177': 0.010265232347330263, '4716749': 0.005486595669152785, '6936665': 0.005415893303367941, '7924178': 0.004862626282301611, '2136579': 0.0037442097670812783, '4950838': 0.0, '7924175': 0.0, '6046276': 0.0}"
9,581195,what can cause dry skin,"{'357162': 3.251260919972207, '357155': 3.1781098459030805, '357159': 3.1105999765714056, '357160': 3.106915625308293, '357161': 3.095126101214025, '4181976': 0.7873973655620347, '6040141': 0.5402752781402425, '2210794': 0.34213625296541605, '4181972': 0.28477620588632385, '4181978': 0.22971276930553883, '94487': 0.22939227295310124, '3463399': 0.1396303344850328, '722033': 0.12041941516957654, '459004': 0.11734284675369192, '4181971': 0.11183697500808841, '2706972': 0.09982263132486188, '343317': 0.08991672727284121, '2210790': 0.08671592571756205, '4181970': 0.0845507319052708, '369811': 0.08278571936431446, '1390733': 0.07480712888516655, '2713590': 0.07348482118041129, '5177380': 0.06945605558094851, '2210789': 0.0651579099198428, '5177381': 0.06413739963253975, '7182025': 0.06327368580072644, '2706974': 0.05324251154361782, '7182021': 0.05182107447571253, '162759': 0.05041570709936232, '2210795': 0.04003222923111487, '5653104': 0.03817602418078278, '6651784': 0.03259744356922532, '722031': 0.030998122830809424, '238025': 0.02459946007099247, '1390739': 0.02171719891320358, '1771388': 0.021478730689121935, '722035': 0.019882972049999042, '6651785': 0.01940021353311334, '3093874': 0.017567517019137613, '3002971': 0.01579431401325047, '1771383': 0.014345607354136421, '1771385': 0.014331522616103176, '722030': 0.0075693948079550875, '369809': 0.007198364068341952, '6651787': 0.001891624866541685, '1086506': 0.0009279340451197543, '251897': 0.0}"
