Query	Passage_Scores
query_0	{'passage_172364': 0.3744481997238578, 'passage_172362': 0.3221205514949971, 'passage_172367': 0.3050326372698722, 'passage_172358': 0.2631142336676757, 'passage_172366': 0.18323305753229718, 'passage_2173888': 0.07885198032470356, 'passage_2173893': 0.06060218660285668, 'passage_428250': 0.05808025893659948, 'passage_961074': 0.050643915952304955, 'passage_428244': 0.049110101407632084, 'passage_3163390': 0.04800374296532511, 'passage_3163389': 0.04623365239449683, 'passage_1282689': 0.044672040667447684}
query_4	{'passage_172362': 0.390094330915695, 'passage_172364': 0.36171806547147184, 'passage_172367': 0.29356139959767463, 'passage_172358': 0.29298822549119596, 'passage_172366': 0.2002142910545946, 'passage_2173888': 0.07915140743549637, 'passage_2173893': 0.05957013984575356, 'passage_428250': 0.056656337244467454, 'passage_3163390': 0.055815886607237984, 'passage_5055630': 0.054972129548377185, 'passage_3163389': 0.05445429841736693, 'passage_961074': 0.05355298424240893, 'passage_16521': 0.047557150160767926, 'passage_428244': 0.04560311301438004, 'passage_2629976': 0.04210973728865415, 'passage_1282689': 0.04116326290418284}
query_5	{'passage_172362': 0.3268752228793099, 'passage_172358': 0.294188810270393, 'passage_172364': 0.2668708837405754, 'passage_172367': 0.23918182699983478, 'passage_172366': 0.20060262510969745, 'passage_2173888': 0.08366369519804975, 'passage_4703547': 0.06491067891351524, 'passage_4703543': 0.06357990847905517, 'passage_428250': 0.05915195834570957, 'passage_3163390': 0.05879215080124512, 'passage_3163389': 0.05862440930829597, 'passage_5055630': 0.0579395397032653, 'passage_961074': 0.05713420142365225, 'passage_16521': 0.05277362284892804}
query_7	{'passage_172364': 0.35362603970381074, 'passage_172362': 0.3513854506578141, 'passage_172367': 0.30644523636143006, 'passage_172358': 0.25710143730505863, 'passage_172366': 0.19269729271159786, 'passage_2173888': 0.08219754514178418, 'passage_2173893': 0.06311487398307665, 'passage_428250': 0.06243906900267697, 'passage_3163390': 0.05250880766748998, 'passage_961074': 0.05093143119949396, 'passage_428244': 0.049791035259744605, 'passage_3163389': 0.04972618200539945, 'passage_1282689': 0.04556802763244031}
query_11	{'passage_172364': 0.39166323869670244, 'passage_172362': 0.378495300412026, 'passage_172367': 0.3521260186083582, 'passage_172358': 0.2544751526380865, 'passage_172366': 0.25081027547652296, 'passage_2173888': 0.07891358357804704, 'passage_4703543': 0.06150940952052668, 'passage_5055630': 0.061083259444701055, 'passage_428250': 0.06106788427469865, 'passage_961074': 0.06072569034264091, 'passage_4703547': 0.057612875686721444, 'passage_3163390': 0.05676137288476936, 'passage_6800104': 0.052817074154462566}
query_18	{'passage_172362': 0.31824792696042686, 'passage_172364': 0.30698907982062673, 'passage_172367': 0.25587741803421765, 'passage_172358': 0.23032376424298506, 'passage_172366': 0.21479820618595868, 'passage_961074': 0.06195471541567601, 'passage_3163396': 0.05654556600250841, 'passage_5055630': 0.05439654045143839, 'passage_3163390': 0.05365677280251332, 'passage_428250': 0.052186986377186564, 'passage_3163389': 0.04998883973121459, 'passage_288134': 0.0443977188362436, 'passage_6368194': 0.0415075494308386, 'passage_428249': 0.03751212571481323, 'passage_334574': 0.03643109920839237, 'passage_5055633': 0.03408252241545179}
query_19	{'passage_172362': 0.3511365819395957, 'passage_172364': 0.3500891225687718, 'passage_172366': 0.25237353214370173, 'passage_172367': 0.24168912428133998, 'passage_172358': 0.23999830622876772, 'passage_961074': 0.06539982937597451, 'passage_5055630': 0.05899820266510399, 'passage_3163390': 0.05679043610812998, 'passage_428250': 0.05361598661930835, 'passage_3163396': 0.05223679321643564, 'passage_288134': 0.05176571739347771, 'passage_3163389': 0.05090536531074936, 'passage_6368194': 0.04210859414698211, 'passage_334574': 0.0401810156701833, 'passage_428249': 0.03760444653388766, 'passage_554476': 0.03672950944776645}
query_25	{'passage_172362': 0.2328997661300077, 'passage_172358': 0.2309745858828489, 'passage_172366': 0.21680117284813655, 'passage_172364': 0.17544144960452596, 'passage_172367': 0.15954018022742983, 'passage_2173888': 0.0878190748223679, 'passage_4703547': 0.07512881848818971, 'passage_961074': 0.0722770749822689, 'passage_4703543': 0.06858728542945879, 'passage_5055630': 0.06615138149090655, 'passage_6800104': 0.06500638485254792}
query_28	{'passage_172367': 0.3248477085558553, 'passage_172364': 0.26053841566153624, 'passage_172362': 0.2514228126434243, 'passage_172366': 0.19552621451856877, 'passage_172358': 0.18065489152241576, 'passage_3163396': 0.06267417195603607, 'passage_5055630': 0.05632457361821096, 'passage_428250': 0.05604817837333352, 'passage_4175409': 0.05151325491764787, 'passage_6610801': 0.05026001982969001, 'passage_288134': 0.04553475202499897, 'passage_6368194': 0.04263603589296739, 'passage_428244': 0.04176548988887185, 'passage_428246': 0.040331353924374, 'passage_428249': 0.038811639315147396, 'passage_334574': 0.038195120848105155, 'passage_554476': 0.036547260878049305, 'passage_5055633': 0.0348766626402068, 'passage_2892099': 0.03262487873403458}
query_31	{'passage_172367': 0.34530490160360733, 'passage_172364': 0.2154670054792805, 'passage_172362': 0.2150759022968742, 'passage_172366': 0.1666556073998069, 'passage_172358': 0.14794404774286965, 'passage_5055630': 0.06279094471900014, 'passage_428250': 0.062329468290874664, 'passage_3163396': 0.0620172351020954, 'passage_6610801': 0.05605592676644742, 'passage_288134': 0.052040830402537604, 'passage_4175409': 0.04832491306982062, 'passage_428244': 0.04332445945052499, 'passage_334574': 0.043013205100028186, 'passage_428246': 0.04274361072973077, 'passage_6368194': 0.04075332333963783, 'passage_428249': 0.040447311367088234, 'passage_554476': 0.03987368809324456, 'passage_5055633': 0.038222114130065814, 'passage_554479': 0.0349432244571166}
